Developer_Copied,SUM_of_Global_Sales_Actual_Units,COUNTA_of_Name,AVERAGE_of_Global_Sales_Actual_Units
Infinity Ward,"5,160,000",4,"1,290,000"
Sledgehammer Games,"1,230,000",1,"1,230,000"
EA Sports,"3,630,000",3,"1,210,000"
"Bungie Software, Bungie","1,210,000",1,"1,210,000"
Blizzard Entertainment,"1,180,000",1,"1,180,000"
"EA Sports, EA Vancouver","1,110,000",1,"1,110,000"
Ubisoft,"2,180,000",2,"1,090,000"
"Spike, Namco Bandai Games","1,090,000",1,"1,090,000"
SCEE London Studio,"1,090,000",1,"1,090,000"
EA DICE,"1,080,000",1,"1,080,000"
Bethesda Game Studios,"2,130,000",2,"1,065,000"
Naughty Dog,"1,030,000",1,"1,030,000"
Game Arts,"1,010,000",1,"1,010,000"
Grand Total,"86,170,000",54,"1,595,741"
