Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,NA_Sales_Actual_Units,EU_Sales_Actual_Units,JP_Sales_Actual_Units,Other_Sales_Actual_Units,Global_Sales_Actual_Units,Critic_Score,Critic_Count,User_Score,User_Count,Average_Score,Developer,Developer_Copied,Rating
Carnival Games,Wii,2007,Misc,Take-Two Interactive,2.12,1.47,0.05,0.42,4.05,"2,120,000","1,470,000","50,000","420,000","4,050,000",56,27,6,44,58.5,Cat Daddy Games,Cat Daddy Games,E
Professor Layton and the Diabolical Box,DS,2007,Puzzle,Nintendo,0.9,1.76,0.92,0.37,3.94,"900,000","1,760,000","920,000","370,000","3,940,000",84,65,8.8,72,86.1,Level 5,Level 5,E10+
Flash Focus: Vision Training in Minutes a Day,DS,2007,Misc,Nintendo,0.86,1.56,1.05,0.35,3.83,"860,000","1,560,000","1,050,000","350,000","3,830,000",59,22,4,4,56.1,"Nintendo, Namco Bandai Games","Nintendo, Namco Bandai Games",E
Big Brain Academy: Wii Degree,Wii,2007,Misc,Nintendo,1.05,1.91,0.41,0.42,3.79,"1,050,000","1,910,000","410,000","420,000","3,790,000",68,33,6.9,39,68.5,Nintendo,Nintendo,E
Super Paper Mario,Wii,2007,Platform,Nintendo,1.95,0.86,0.59,0.31,3.71,"1,950,000","860,000","590,000","310,000","3,710,000",85,56,7.9,417,79.7,Intelligent Systems,Intelligent Systems,E
MySims,DS,2007,Simulation,Electronic Arts,1.58,1.59,0.08,0.41,3.66,"1,580,000","1,590,000","80,000","410,000","3,660,000",67,15,7.3,13,69.8,TOSE,TOSE,E
Pro Evolution Soccer 2008,PS2,2007,Sports,Konami Digital Entertainment,0.05,0,0.64,2.93,3.63,"50,000",0,"640,000","2,930,000","3,630,000",82,10,7.9,38,79.6,Konami,Konami,E
Cooking Mama 2: Dinner With Friends,DS,2007,Simulation,505 Games,1.6,1.49,0.1,0.39,3.58,"1,600,000","1,490,000","100,000","390,000","3,580,000",70,39,8,9,71.9,Office Create,Office Create,E
Crisis Core: Final Fantasy VII,PSP,2007,Role-Playing,Square Enix,1.35,0.59,0.8,0.43,3.18,"1,350,000","590,000","800,000","430,000","3,180,000",83,67,8,463,80.4,Square Enix,Square Enix,T
FIFA Soccer 08,PS2,2007,Sports,Electronic Arts,0.68,0,0,2.46,3.14,"680,000",0,0,"2,460,000","3,140,000",83,12,6.5,36,69.5,EA Canada,EA Canada,E
The Elder Scrolls IV: Oblivion,PS3,2007,Role-Playing,Ubisoft,1.69,0.85,0.14,0.43,3.1,"1,690,000","850,000","140,000","430,000","3,100,000",93,45,8,604,80.9,4J Studios,4J Studios,M
Dragon Ball Z: Budokai Tenkaichi 3,PS2,2007,Fighting,Atari,1.15,0,0.76,1.09,3,"1,150,000",0,"760,000","1,090,000","3,000,000",73,24,9.2,173,89.7,"Spike, Namco Bandai Games","Spike, Namco Bandai Games",T
Mass Effect,X360,2007,Role-Playing,Microsoft Game Studios,1.83,0.79,0.03,0.27,2.91,"1,830,000","790,000","30,000","270,000","2,910,000",91,74,8.7,1692,87.2,BioWare,BioWare,M
Cooking Mama: Cook Off,Wii,2007,Simulation,505 Games,1.41,1.12,0.05,0.3,2.89,"1,410,000","1,120,000","50,000","300,000","2,890,000",61,37,5.3,23,57.9,OfficeCreate,OfficeCreate,E
Imagine: Babyz,DS,2007,Simulation,Ubisoft,1.3,1.26,0,0.31,2.87,"1,300,000","1,260,000",0,"310,000","2,870,000",,,7.7,15,77.0,Ubisoft,Ubisoft,E
BioShock,X360,2007,Shooter,Take-Two Interactive,1.65,0.85,0.05,0.28,2.83,"1,650,000","850,000","50,000","280,000","2,830,000",96,88,8.9,2249,89.3,"Irrational Games, 2K Marin","Irrational Games, 2K Marin",M
Imagine: Fashion Designer,DS,2007,Simulation,Ubisoft,1.32,1.19,0,0.3,2.8,"1,320,000","1,190,000",0,"300,000","2,800,000",,,7.6,7,76.0,Virtual Toys,Virtual Toys,E
Sonic and the Secret Rings,Wii,2007,Platform,Sega,1.21,1.19,0.04,0.29,2.73,"1,210,000","1,190,000","40,000","290,000","2,730,000",69,44,6.6,174,66.6,Sonic Team,Sonic Team,E
Mario Strikers Charged,Wii,2007,Sports,Nintendo,1.05,1.05,0.24,0.24,2.58,"1,050,000","1,050,000","240,000","240,000","2,580,000",79,47,8,124,79.7,Next Level Games,Next Level Games,E10+
LEGO Star Wars: The Complete Saga,X360,2007,Action,LucasArts,1.53,0.81,0,0.24,2.57,"1,530,000","810,000",0,"240,000","2,570,000",80,24,7.4,114,75.0,Traveller's Tales,Traveller's Tales,E10+
Madden NFL 08,PS2,2007,Sports,Electronic Arts,2.14,0.08,0,0.35,2.57,"2,140,000","80,000",0,"350,000","2,570,000",78,11,7.8,17,78.0,EA Tiburon,EA Tiburon,E
Monster Hunter Freedom 2,PSP,2007,Role-Playing,Capcom,0.37,0.27,1.75,0.18,2.57,"370,000","270,000","1,750,000","180,000","2,570,000",72,38,8.7,83,82.3,Capcom,Capcom,T
Game Party,Wii,2007,Misc,Midway Games,1.47,0.77,0,0.24,2.48,"1,470,000","770,000",0,"240,000","2,480,000",25,8,4.3,26,38.8,Midway,Midway,E
Need for Speed: ProStreet,PS2,2007,Racing,Electronic Arts,0.69,0,0.04,1.68,2.41,"690,000",0,"40,000","1,680,000","2,410,000",62,11,6.2,34,62.0,Black Box,Black Box,E10+
Madden NFL 08,X360,2007,Sports,Electronic Arts,2.18,0.01,0,0.18,2.37,"2,180,000","10,000",0,"180,000","2,370,000",85,46,6.4,108,70.3,EA Tiburon,EA Tiburon,E
WWE SmackDown vs Raw 2008,PS2,2007,Fighting,THQ,0.92,0,0.01,1.41,2.34,"920,000",0,"10,000","1,410,000","2,340,000",71,11,7.2,31,71.7,Yuke's,Yuke's,T
LEGO Star Wars: The Complete Saga,PS3,2007,Action,LucasArts,1.02,0.9,0,0.36,2.29,"1,020,000","900,000",0,"360,000","2,290,000",80,18,6.7,87,69.2,Traveller's Tales,Traveller's Tales,E10+
Guitar Hero III: Legends of Rock,PS3,2007,Misc,Activision,1.4,0.53,0.02,0.3,2.24,"1,400,000","530,000","20,000","300,000","2,240,000",83,45,7.8,52,80.3,Neversoft Entertainment,Neversoft Entertainment,T
Guitar Hero II,X360,2007,Misc,Activision,2.01,0.02,0,0.17,2.2,"2,010,000","20,000",0,"170,000","2,200,000",92,55,8.1,220,83.2,Harmonix Music Systems,Harmonix Music Systems,T
Call of Duty: Roads to Victory,PSP,2007,Shooter,Activision,0.52,1.02,0,0.59,2.13,"520,000","1,020,000",0,"590,000","2,130,000",64,45,7.5,30,68.4,Amaze Entertainment,Amaze Entertainment,T
Dance Dance Revolution: Hottest Party,Wii,2007,Simulation,Konami Digital Entertainment,1.35,0.52,0,0.19,2.07,"1,350,000","520,000",0,"190,000","2,070,000",73,16,7.1,27,71.7,Konami,Konami,E10+
Need for Speed: ProStreet,X360,2007,Racing,Electronic Arts,1.04,0.79,0.01,0.21,2.05,"1,040,000","790,000","10,000","210,000","2,050,000",72,42,7.1,78,71.4,EA Black Box,EA Black Box,E10+
Need for Speed: ProStreet,PS3,2007,Racing,Electronic Arts,0.73,0.91,0.04,0.36,2.04,"730,000","910,000","40,000","360,000","2,040,000",73,26,6,43,64.9,EA Black Box,EA Black Box,E10+
TouchMaster,DS,2007,Puzzle,Midway Games,0.48,1.27,0,0.24,2,"480,000","1,270,000",0,"240,000","2,000,000",71,19,5.7,9,66.5,Midway Studios - San Diego,Midway Studios - San Diego,E10+
Rayman Raving Rabbids 2,Wii,2007,Misc,Ubisoft,0.82,0.82,0,0.2,1.83,"820,000","820,000",0,"200,000","1,830,000",67,25,8.3,66,78.6,Ubisoft Montpellier,Ubisoft Montpellier,E10+
The Orange Box,X360,2007,Shooter,Electronic Arts,1.09,0.53,0.02,0.17,1.82,"1,090,000","530,000","20,000","170,000","1,820,000",96,54,8.9,797,89.4,Valve Software,Valve Software,M
Metroid Prime 3: Corruption,Wii,2007,Shooter,Nintendo,0.89,0.74,0.07,0.09,1.79,"890,000","740,000","70,000","90,000","1,790,000",90,62,8.9,491,89.1,Retro Studios,Retro Studios,T
FIFA Soccer 08,PS3,2007,Sports,Electronic Arts,0.35,1.06,0.02,0.31,1.75,"350,000","1,060,000","20,000","310,000","1,750,000",81,28,7.1,47,74.7,EA Canada,EA Canada,E
Crackdown,X360,2007,Shooter,Microsoft Game Studios,1,0.53,0.03,0.18,1.75,"1,000,000","530,000","30,000","180,000","1,750,000",83,75,8,340,80.5,Realtime Worlds,Realtime Worlds,M
Deal or No Deal,DS,2007,Misc,Mindscape,1.15,0.4,0,0.15,1.7,"1,150,000","400,000",0,"150,000","1,700,000",20,13,1.9,41,19.2,Artefacts Studio,Artefacts Studio,E
Personal Trainer: Math,DS,2007,Puzzle,Nintendo,0.48,1.12,0,0.08,1.69,"480,000","1,120,000",0,"80,000","1,690,000",63,11,,,63.0,Jupiter Corporation,Jupiter Corporation,E
Star Wars Battlefront: Renegade Squadron,PSP,2007,Shooter,LucasArts,0.9,0.46,0,0.32,1.67,"900,000","460,000",0,"320,000","1,670,000",73,35,7.9,46,76.4,Rebellion,Rebellion,T
Heavenly Sword,PS3,2007,Action,Sony Computer Entertainment,0.57,0.72,0.06,0.29,1.65,"570,000","720,000","60,000","290,000","1,650,000",79,64,8.3,544,82.6,Ninja Theory,Ninja Theory,T
MySims,Wii,2007,Simulation,Electronic Arts,0.9,0.54,0.04,0.17,1.65,"900,000","540,000","40,000","170,000","1,650,000",68,38,7.2,56,70.4,EA Redwood Shores,EA Redwood Shores,E
Dragon Quest IV: Chapters of the Chosen,DS,2007,Role-Playing,Square Enix,0.3,0.02,1.27,0.03,1.62,"300,000","20,000","1,270,000","30,000","1,620,000",80,44,7.9,50,79.5,ArtePiazza,ArtePiazza,E10+
SpongeBob's Atlantis SquarePantis,DS,2007,Action,THQ,1.49,0,0,0.11,1.6,"1,490,000",0,0,"110,000","1,600,000",64,5,,,64.0,THQ,THQ,E
Pro Evolution Soccer 2008,PS3,2007,Sports,Konami Digital Entertainment,0.04,1.1,0.32,0.13,1.59,"40,000","1,100,000","320,000","130,000","1,590,000",74,19,6.1,47,64.7,Konami,Konami,E
Resident Evil: The Umbrella Chronicles,Wii,2007,Action,Capcom,0.67,0.43,0.29,0.14,1.52,"670,000","430,000","290,000","140,000","1,520,000",75,47,7.6,122,75.7,Cavia Inc.,Cavia Inc.,M
The Simpsons Game,PS2,2007,Action,Electronic Arts,0.35,0.03,0,1.13,1.51,"350,000","30,000",0,"1,130,000","1,510,000",68,10,8.2,27,78.2,Electronic Arts,Electronic Arts,T
The Simpsons Game,DS,2007,Action,Electronic Arts,0.56,0.77,0,0.17,1.51,"560,000","770,000",0,"170,000","1,510,000",69,17,7.3,18,71.1,Griptonite Games,Griptonite Games,T
Sonic Rivals 2,PSP,2007,Racing,Sega,0.44,0.67,0,0.37,1.48,"440,000","670,000",0,"370,000","1,480,000",60,24,7.8,35,70.7,Backbone Entertainment,Backbone Entertainment,E
SingStar Pop,PS2,2007,Misc,Sony Computer Entertainment,0.04,1.08,0,0.32,1.44,"40,000","1,080,000",0,"320,000","1,440,000",73,13,7.5,8,73.8,SCEE London Studio,SCEE London Studio,E10+
My Word Coach,DS,2007,Misc,Ubisoft,0.37,0.89,0,0.18,1.44,"370,000","890,000",0,"180,000","1,440,000",71,7,6.8,5,69.8,Ubisoft,Ubisoft,E
WWE SmackDown vs Raw 2008,X360,2007,Fighting,THQ,0.92,0.38,0,0.13,1.43,"920,000","380,000",0,"130,000","1,430,000",71,41,6.8,48,69.4,Yuke's,Yuke's,T
Smarty Pants,Wii,2007,Misc,Electronic Arts,0.52,0.75,0,0.16,1.43,"520,000","750,000",0,"160,000","1,430,000",65,26,7.6,10,68.1,Planet Moon Studios,Planet Moon Studios,E
Final Fantasy XII: Revenant Wings,DS,2007,Role-Playing,Square Enix,0.33,0.41,0.54,0.1,1.37,"330,000","410,000","540,000","100,000","1,370,000",81,44,6.1,60,69.5,"Square Enix, Think and Feel","Square Enix, Think and Feel",E10+
FIFA Soccer 08,PSP,2007,Sports,Electronic Arts,0.2,0.76,0,0.39,1.35,"200,000","760,000",0,"390,000","1,350,000",79,7,7.4,15,75.6,EA Canada,EA Canada,E
Disney Princess: Enchanted Journey,Wii,2007,Adventure,Disney Interactive Studios,1.22,0.03,0,0.09,1.35,"1,220,000","30,000",0,"90,000","1,350,000",,,4.3,4,43.0,Papaya Studios,Papaya Studios,E
FIFA Soccer 08,X360,2007,Sports,Electronic Arts,0.31,0.89,0.01,0.14,1.35,"310,000","890,000","10,000","140,000","1,350,000",82,43,7.9,57,80.3,EA Canada,EA Canada,E
WWE SmackDown vs Raw 2008,PS3,2007,Fighting,THQ,0.62,0.49,0.01,0.2,1.33,"620,000","490,000","10,000","200,000","1,330,000",74,27,7.3,41,73.4,Yuke's,Yuke's,T
Namco Museum DS,DS,2007,Misc,Atari,1.13,0.01,0.06,0.09,1.29,"1,130,000","10,000","60,000","90,000","1,290,000",67,19,5.9,8,64.6,M2,M2,E
EA Playground,Wii,2007,Sports,Electronic Arts,0.68,0.47,0,0.13,1.29,"680,000","470,000",0,"130,000","1,290,000",66,32,7.6,30,70.8,EA Canada,EA Canada,E
Rockstar Games presents Table Tennis,Wii,2007,Sports,Take-Two Interactive,0.39,0.72,0,0.15,1.26,"390,000","720,000",0,"150,000","1,260,000",68,36,5.8,21,64.3,Rockstar San Diego,Rockstar San Diego,E
Tom Clancy's Rainbow Six: Vegas,PS3,2007,Shooter,Ubisoft,0.47,0.53,0.03,0.22,1.25,"470,000","530,000","30,000","220,000","1,250,000",86,32,7.6,81,78.8,Ubisoft Montreal,Ubisoft Montreal,M
Winter Sports: The Ultimate Challenge,Wii,2007,Sports,RTL,0.45,0.67,0,0.12,1.24,"450,000","670,000",0,"120,000","1,240,000",52,15,6.8,4,55.4,49Games,49Games,E
Ben 10: Protector of Earth,Wii,2007,Action,D3Publisher,0.54,0.55,0,0.13,1.23,"540,000","550,000",0,"130,000","1,230,000",63,6,7.7,9,71.4,High Voltage Software,High Voltage Software,E10+
Diddy Kong Racing DS,DS,2007,Racing,Nintendo,1.09,0.03,0,0.09,1.22,"1,090,000","30,000",0,"90,000","1,220,000",63,39,7.5,27,67.9,Rare Ltd.,Rare Ltd.,E
Final Fantasy IV,DS,2007,Simulation,Square Enix,0.51,0.04,0.62,0.05,1.21,"510,000","40,000","620,000","50,000","1,210,000",85,52,7.7,164,78.9,Matrix Software,Matrix Software,E10+
Medal of Honor: Airborne,PS3,2007,Shooter,Electronic Arts,0.25,0.69,0.03,0.25,1.21,"250,000","690,000","30,000","250,000","1,210,000",75,16,7.6,39,75.7,Electronic Arts,Electronic Arts,T
The Sims 2: Castaway,Wii,2007,Simulation,Electronic Arts,0.44,0.63,0,0.14,1.2,"440,000","630,000",0,"140,000","1,200,000",73,19,8.2,10,76.1,Maxis,Maxis,T
WWE SmackDown vs Raw 2008,PSP,2007,Fighting,THQ,0.45,0.47,0,0.28,1.19,"450,000","470,000",0,"280,000","1,190,000",68,11,7.8,15,73.8,Yuke's,Yuke's,T
Final Fantasy Tactics: The War of the Lions,PSP,2007,Role-Playing,Square Enix,0.45,0.24,0.3,0.16,1.16,"450,000","240,000","300,000","160,000","1,160,000",88,41,8,238,81.2,TOSE,TOSE,T
Sonic Rush Adventure,DS,2007,Platform,Sega,0.53,0.48,0.01,0.12,1.15,"530,000","480,000","10,000","120,000","1,150,000",78,32,8.2,66,80.7,Dimps Corporation,Dimps Corporation,E
Medal of Honor Heroes 2,PSP,2007,Shooter,Electronic Arts,0.5,0.39,0.02,0.25,1.15,"500,000","390,000","20,000","250,000","1,150,000",69,20,7.3,30,71.4,EA LA,EA LA,T
Call of Duty 4: Modern Warfare,PC,2007,Shooter,Activision,0,1.12,0,0.03,1.15,0,"1,120,000",0,"30,000","1,150,000",92,40,8.5,2360,85.1,Infinity Ward,Infinity Ward,M
Ninja Gaiden Sigma,PS3,2007,Action,Eidos Interactive,0.57,0.32,0.09,0.16,1.14,"570,000","320,000","90,000","160,000","1,140,000",88,46,7.5,155,78.0,Team Ninja,Team Ninja,M
Hot Shots Golf: Out of Bounds,PS3,2007,Sports,Sony Computer Entertainment,0.31,0.03,0.76,0.04,1.14,"310,000","30,000","760,000","40,000","1,140,000",81,66,8.8,32,83.3,Clap Hanz,Clap Hanz,E
SingStar,PS3,2007,Misc,Sony Computer Entertainment,0.45,0.56,0,0.12,1.13,"450,000","560,000",0,"120,000","1,130,000",82,48,5.9,15,76.5,SCEE London Studio,SCEE London Studio,T
Worldwide Soccer Manager 2008,PC,2007,Sports,Russel,0,1.12,0,0,1.12,0,"1,120,000",0,0,"1,120,000",86,15,8,19,82.6,Sports Interactive,Sports Interactive,E
Guitar Hero Encore: Rocks The 80s,PS2,2007,Misc,RedOctane,0.92,0.04,0,0.15,1.11,"920,000","40,000",0,"150,000","1,110,000",69,50,6.3,31,66.7,Harmonix Music Systems,Harmonix Music Systems,T
Need for Speed: ProStreet,Wii,2007,Racing,Electronic Arts,0.53,0.45,0,0.12,1.1,"530,000","450,000",0,"120,000","1,100,000",61,16,6.9,14,64.7,EA Games,EA Games,E10+
Medal of Honor: Airborne,X360,2007,Shooter,Electronic Arts,0.45,0.52,0.01,0.12,1.1,"450,000","520,000","10,000","120,000","1,100,000",73,54,6.7,77,69.5,Electronic Arts,Electronic Arts,T
Virtua Fighter 5,PS3,2007,Fighting,Sega,0.29,0.51,0.08,0.2,1.08,"290,000","510,000","80,000","200,000","1,080,000",85,47,7.4,67,78.5,Sega AM2,Sega AM2,T
The Simpsons Game,PSP,2007,Action,Electronic Arts,0.24,0.54,0,0.3,1.07,"240,000","540,000",0,"300,000","1,070,000",59,7,6.7,15,64.5,"Electronic Arts, Rebellion","Electronic Arts, Rebellion",T
Pro Evolution Soccer 2008,X360,2007,Sports,Konami Digital Entertainment,0.08,0.9,0.04,0.05,1.07,"80,000","900,000","40,000","50,000","1,070,000",76,29,7.8,36,77.1,Konami,Konami,E
The Orange Box,PS3,2007,Shooter,Electronic Arts,0.28,0.58,0,0.21,1.06,"280,000","580,000",0,"210,000","1,060,000",89,21,8.4,188,84.5,EA Games,EA Games,M
Endless Ocean,Wii,2007,Adventure,Nintendo,0.43,0.46,0.09,0.09,1.06,"430,000","460,000","90,000","90,000","1,060,000",72,42,8.1,61,77.3,Arika,Arika,E
Warhawk,PS3,2007,Simulation,Sony Computer Entertainment,0.49,0.39,0,0.17,1.06,"490,000","390,000",0,"170,000","1,060,000",84,50,8.4,183,84.0,Incognito Inc.,Incognito Inc.,T
DiRT,PS3,2007,Racing,Codemasters,0.16,0.66,0,0.23,1.05,"160,000","660,000",0,"230,000","1,050,000",83,32,8,32,81.5,Codemasters,Codemasters,E
Call of Duty 4: Modern Warfare,DS,2007,Shooter,Activision,0.95,0.01,0.01,0.08,1.05,"950,000","10,000","10,000","80,000","1,050,000",75,22,6.9,36,71.3,n-Space,n-Space,T
Dora the Explorer: Dora Saves the Mermaids,DS,2007,Platform,Take-Two Interactive,0.97,0.01,0,0.07,1.05,"970,000","10,000",0,"70,000","1,050,000",44,5,,,44.0,Black Lantern Studios,Black Lantern Studios,E
Virtua Tennis 3,PS3,2007,Sports,Sega,0.23,0.58,0.03,0.21,1.05,"230,000","580,000","30,000","210,000","1,050,000",80,35,7.9,32,79.5,Sega AM3,Sega AM3,E
Imagine: Animal Doctor,DS,2007,Simulation,Ubisoft,0.45,0.48,0,0.11,1.04,"450,000","480,000",0,"110,000","1,040,000",,,7.4,5,74.0,Virtual Toys,Virtual Toys,E
The Simpsons Game,X360,2007,Action,Electronic Arts,0.54,0.39,0,0.11,1.03,"540,000","390,000",0,"110,000","1,030,000",71,52,7.7,71,74.5,"Electronic Arts, EA Redwood Shores","Electronic Arts, EA Redwood Shores",T
Tom Clancy's Ghost Recon Advanced Warfighter 2,PS3,2007,Shooter,Ubisoft,0.34,0.48,0.02,0.19,1.03,"340,000","480,000","20,000","190,000","1,030,000",84,29,8.1,41,82.2,"Red Storm Entertainment, Ubisoft Paris","Red Storm Entertainment, Ubisoft Paris",T
FIFA Soccer 08,Wii,2007,Sports,Electronic Arts,0.32,0.59,0.01,0.11,1.02,"320,000","590,000","10,000","110,000","1,020,000",65,13,6.1,26,62.3,EA Canada,EA Canada,E
Tiger Woods PGA Tour 08,Wii,2007,Sports,Electronic Arts,0.93,0.01,0,0.08,1.02,"930,000","10,000",0,"80,000","1,020,000",72,24,7,22,71.0,EA Salt Lake,EA Salt Lake,E
Dragon Ball Z: Budokai Tenkaichi 3,Wii,2007,Fighting,Atari,0.32,0.36,0.26,0.09,1.02,"320,000","360,000","260,000","90,000","1,020,000",72,27,8.4,61,80.3,"Spike, Namco Bandai Games","Spike, Namco Bandai Games",T
Tom Clancy's Ghost Recon Advanced Warfighter 2,X360,2007,Shooter,Ubisoft,0.87,0.05,0.02,0.08,1.02,"870,000","50,000","20,000","80,000","1,020,000",86,58,8.1,89,83.0,"Red Storm Entertainment, Ubisoft Paris","Red Storm Entertainment, Ubisoft Paris",T
Petz: Catz 2,DS,2007,Simulation,Ubisoft,0.51,0.4,0,0.11,1.02,"510,000","400,000",0,"110,000","1,020,000",,,9,4,90.0,Powerhead Games,Powerhead Games,E
Naruto: Clash of Ninja Revolution,Wii,2007,Fighting,Tomy Corporation,0.44,0.46,0,0.11,1.01,"440,000","460,000",0,"110,000","1,010,000",74,23,8,27,77.2,8ing/Raizing,8ing/Raizing,T
Ace Combat 6: Fires of Liberation,X360,2007,Simulation,Atari,0.69,0.04,0.22,0.06,1.01,"690,000","40,000","220,000","60,000","1,010,000",80,54,7.9,101,79.3,Project Aces,Project Aces,T
The Simpsons Game,Wii,2007,Action,Electronic Arts,0.45,0.46,0,0.11,1.01,"450,000","460,000",0,"110,000","1,010,000",64,19,6.1,38,62.0,"Electronic Arts, Rebellion","Electronic Arts, Rebellion",T
Apollo Justice: Ace Attorney,DS,2007,Adventure,Capcom,0.28,0.04,0.64,0.03,0.99,"280,000","40,000","640,000","30,000","990,000",78,48,8.1,84,79.9,Capcom,Capcom,T
WWE SmackDown vs Raw 2008,Wii,2007,Fighting,THQ,0.38,0.5,0,0.11,0.98,"380,000","500,000",0,"110,000","980,000",59,13,5.9,18,59.0,Yuke's,Yuke's,T
